Open,Current Price,Time,Date
,11.05,153744,20200420
,11.05,153746,20200420
,11.05,153749,20200420
,11.05,153751,20200420
,11.05,153753,20200420
,11.05,153755,20200420
,11.05,153758,20200420
,11.05,153800,20200420
,11.05,153802,20200420
,11.05,153805,20200420
,11.05,153807,20200420
,11.05,153809,20200420
,11.05,153812,20200420
,11.05,153814,20200420
,11.05,153817,20200420
,11.05,153819,20200420
,11.05,153822,20200420
,11.05,153824,20200420
,11.05,153826,20200420
,11.05,153829,20200420
,11.05,153831,20200420
,11.05,153833,20200420
,11.05,153835,20200420
,11.05,153838,20200420
,11.05,153840,20200420
,11.05,153842,20200420
,11.05,153844,20200420
,11.05,153847,20200420
,11.05,153849,20200420
,11.05,153851,20200420
,11.05,153853,20200420
,11.05,153856,20200420
,11.05,153858,20200420
,11.05,153900,20200420
,11.05,153902,20200420
,11.05,153905,20200420
,11.05,153907,20200420
,11.05,153909,20200420
,11.05,153912,20200420
,11.05,153914,20200420
,11.05,153917,20200420
,11.05,153919,20200420
,11.05,153921,20200420
,11.05,153924,20200420
,11.05,153926,20200420
,11.05,153928,20200420
,11.05,153931,20200420
,11.05,153933,20200420
,11.05,153935,20200420
,11.05,153938,20200420
,11.05,153940,20200420
,11.05,153942,20200420
,11.05,153945,20200420
,11.05,153947,20200420
,11.05,153949,20200420
,11.05,153952,20200420
,11.05,153954,20200420
,11.05,153956,20200420
,11.05,153958,20200420
,11.05,154001,20200420
,11.05,154003,20200420
,11.05,154005,20200420
,11.05,154007,20200420
,11.05,154010,20200420
,11.05,154012,20200420
,11.05,154014,20200420
,11.05,154017,20200420
,11.05,154019,20200420
,11.05,154021,20200420
,11.05,154023,20200420
,11.05,154026,20200420
,11.05,154028,20200420
,11.05,154030,20200420
,11.05,154032,20200420
,11.05,154035,20200420
,11.05,154037,20200420
,11.05,154039,20200420
,11.05,154041,20200420
,11.05,154044,20200420
,11.05,154046,20200420
,11.05,154048,20200420
,11.05,154051,20200420
,11.05,154053,20200420
,11.05,154055,20200420
,11.05,154057,20200420
,11.05,154100,20200420
,11.05,154102,20200420
,11.05,154104,20200420
,11.05,154106,20200420
,11.05,154109,20200420
,11.05,154111,20200420
,11.05,154113,20200420
,11.05,154117,20200420
,11.05,154119,20200420
,11.05,154122,20200420
,11.05,154124,20200420
,11.05,154126,20200420
,11.05,154128,20200420
,11.05,154131,20200420
,11.05,154133,20200420
,11.05,154135,20200420
,11.05,154138,20200420
,11.05,154140,20200420
,11.05,154142,20200420
,11.05,154144,20200420
,11.05,154147,20200420
,11.05,154149,20200420
,11.05,154151,20200420
,11.05,154153,20200420
,11.05,154156,20200420
,11.05,154158,20200420
,11.05,154200,20200420
,11.05,154202,20200420
,11.05,154205,20200420
,11.05,154207,20200420
,11.05,154209,20200420
,11.05,154212,20200420
,11.05,154214,20200420
,11.05,154217,20200420
,11.05,154219,20200420
,11.05,154221,20200420
,11.05,154224,20200420
,11.05,154226,20200420
,11.05,154228,20200420
,11.05,154230,20200420
,11.05,154233,20200420
,11.05,154235,20200420
,11.05,154237,20200420
,11.05,154239,20200420
,11.05,154242,20200420
,11.05,154244,20200420
,11.05,154246,20200420
,11.05,154248,20200420
,11.05,154251,20200420
,11.05,154253,20200420
,11.05,154255,20200420
,11.05,154257,20200420
,11.05,154300,20200420
,11.05,154302,20200420
,11.05,154304,20200420
,11.05,154307,20200420
,11.05,154309,20200420
,11.05,154311,20200420
,11.05,154313,20200420
,11.05,154317,20200420
,11.05,154319,20200420
,11.05,154321,20200420
,11.05,154324,20200420
,11.05,154326,20200420
,11.05,154328,20200420
,11.05,154330,20200420
,11.05,154333,20200420
,11.05,154335,20200420
,11.05,154337,20200420
,11.05,154340,20200420
,11.05,154342,20200420
,11.05,154344,20200420
,11.05,154346,20200420
,11.05,154349,20200420
,11.05,154351,20200420
,11.05,154353,20200420
,11.05,154355,20200420
,11.05,154358,20200420
,11.05,154400,20200420
,11.05,154402,20200420
,11.05,154405,20200420
,11.05,154407,20200420
,11.05,154409,20200420
,11.05,154412,20200420
,11.05,154414,20200420
,11.05,154417,20200420
,11.05,154419,20200420
,11.05,154421,20200420
,11.05,154423,20200420
,11.05,154426,20200420
,11.05,154428,20200420
,11.05,154430,20200420
,11.05,154432,20200420
,11.05,154435,20200420
,11.05,154437,20200420
,11.05,154439,20200420
,11.05,154443,20200420
,11.05,154445,20200420
,11.05,154448,20200420
,11.05,154450,20200420
,11.05,154452,20200420
,11.05,154454,20200420
,11.05,154457,20200420
,11.05,154459,20200420
,11.05,154501,20200420
,11.05,154504,20200420
,11.05,154506,20200420
,11.05,154508,20200420
,11.05,154510,20200420
,11.05,154513,20200420
,11.05,154515,20200420
,11.05,154518,20200420
,11.05,154521,20200420
,11.05,154523,20200420
,11.05,154525,20200420
,11.05,154527,20200420
,11.05,154530,20200420
,11.05,154532,20200420
,11.05,154534,20200420
,11.05,154536,20200420
,11.05,154539,20200420
,11.05,154541,20200420
,11.05,154543,20200420
,11.05,154545,20200420
,11.05,154548,20200420
,11.05,154550,20200420
,11.05,154552,20200420
,11.05,154554,20200420
,11.05,154557,20200420
,11.05,154559,20200420
,11.05,154601,20200420
,11.05,154604,20200420
,11.05,154606,20200420
,11.05,154608,20200420
,11.05,154610,20200420
,11.05,154613,20200420
,11.05,154615,20200420
,11.05,154618,20200420
,11.05,0.5199999999999996,154842,20200420
,11.05,0.5199999999999996,154844,20200420
,11.05,0.5199999999999996,154847,20200420
,11.05,0.5199999999999996,154849,20200420
,11.05,0.5199999999999996,154851,20200420
,11.05,0.5199999999999996,154853,20200420
,11.05,0.5199999999999996,154856,20200420
,11.05,0.5199999999999996,154858,20200420
,11.05,0.5199999999999996,154900,20200420
,11.05,0.5199999999999996,154903,20200420
,11.05,0.5199999999999996,154905,20200420
,11.05,0.5199999999999996,154907,20200420
,11.05,0.5199999999999996,154909,20200420
,11.05,0.5199999999999996,154912,20200420
